,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_o_1,badj_d_1,wab_1,barthag_1,talent_1,elite_sos_1,win_percent_1,pppo_1,k_off_1,avg_hgt_1,badj_em_2,badj_o_2,badj_d_2,wab_2,barthag_2,talent_2,elite_sos_2,win_percent_2,pppo_2,k_off_2,avg_hgt_2,winner,badj_em_diff,badj_o_diff,badj_d_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff,avg_hgt_diff
0,2024,Connecticut,1,1,64,Stetson,16,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1,2024,Florida Atlantic,8,1,64,Northwestern,9,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2,2024,San Diego St.,5,1,64,UAB,12,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
3,2024,Auburn,4,1,64,Yale,13,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
4,2024,BYU,6,1,64,Duquesne,11,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
5,2024,Illinois,3,1,64,Morehead St.,14,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
6,2024,Washington St.,7,1,64,Drake,10,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
7,2024,Iowa St.,2,1,64,South Dakota St.,15,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
8,2024,North Carolina,1,1,64,Howard,16,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
9,2024,Wagner,16,64,68,Mississippi St.,8,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
10,2024,Michigan St.,9,64,64,Saint Mary's,5,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
11,2024,Grand Canyon,12,64,64,Alabama,4,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
12,2024,College of Charleston,13,64,64,Clemson,6,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
13,2024,New Mexico,11,64,64,Baylor,3,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
14,2024,Colgate,14,64,64,Dayton,7,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
15,2024,Nevada,10,64,64,Arizona,2,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
16,2024,Long Beach St.,15,64,64,Houston,1,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
17,2024,Longwood,16,64,64,Nebraska,8,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
18,2024,Texas A&M,9,64,64,Wisconsin,5,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
19,2024,James Madison,12,64,64,Duke,4,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
20,2024,Vermont,13,64,64,Texas Tech,6,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
21,2024,North Carolina St.,11,64,64,Kentucky,3,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
22,2024,Oakland,14,64,64,Florida,7,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
23,2024,Boise St.,10,64,68,Colorado,10,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
24,2024,Marquette,2,1,64,Western Kentucky,15,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
25,2024,Purdue,1,1,64,Montana St.,16,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
26,2024,Grambling St.,16,64,68,Utah St.,8,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
27,2024,TCU,9,64,64,Gonzaga,5,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
28,2024,McNeese St.,12,64,64,Kansas,4,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
29,2024,Samford,13,64,64,South Carolina,6,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
30,2024,Oregon,11,64,64,Creighton,3,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
31,2024,Akron,14,64,64,Texas,7,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
32,2024,Virginia,10,64,68,Colorado St.,10,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
33,2024,Tennessee,2,1,64,Saint Peter's,15,64,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
34,2023,Alabama,1,16,64,Texas A&M Corpus Chris,16,64,27.1,88.3,115.4,10.2,0.956,66.119,33.7,85.29411765,1.106,110.862,78.117,-1.8,115.4,88.3,-6.0,0.451,3.833,9.546,65.51724138,1.098,109.864,75.074,1,28.900000000000002,-27.10000000000001,27.10000000000001,16.2,0.5049999999999999,62.286,24.154000000000003,19.776876270000002,0.008000000000000007,0.9979999999999905,3.0430000000000064
