,YEAR,TEAM,SEED,ROUND,WAB,BADJ EM,BARTHAG,TALENT,BADJ O,BADJ D,ELITE SOS,WIN%,PPPO,K OFF,AVG HGT
68,2023,Alabama,1,16,10.2,27.1,0.956,66.119,115.4,88.3,33.7,85.29411765,1.106,110.862,78.117
69,2023,Arizona,2,64,7.6,24.3,0.932,73.326,119.7,95.4,29.572,82.35294118,1.134,113.208,78.469
70,2023,Arizona St.,11,64,1.3,12.0,0.8,48.279,105.8,93.8,28.637,64.70588235,1.006,100.983,77.112
71,2023,Arkansas,8,16,0.4,18.7,0.894,70.997,110.7,92.0,30.654,60.60606061,1.058,105.743,78.723
72,2023,Auburn,9,32,1.1,17.7,0.881,47.081,110.9,93.2,30.519,62.5,1.054,105.387,76.74
73,2023,Baylor,3,32,5.3,21.4,0.904,57.276,120.9,99.5,36.633,68.75,1.132,113.141,77.08
74,2023,Boise St.,10,64,2.3,15.3,0.852,17.176,108.2,92.9,24.425,71.875,1.058,105.781,77.646
75,2023,Colgate,15,64,-3.6,5.9,0.651,0.2,111.7,105.8,8.434,75.75757576,1.15,114.974,77.42
76,2023,College of Charleston,12,64,1.7,11.5,0.782,0.2,109.2,97.7,8.862,90.90909091,1.126,112.46,76.909
77,2023,Connecticut,4,1,4.9,26.4,0.947,62.486,118.9,92.5,29.244,75.75757576,1.144,114.228,78.308
78,2023,Creighton,6,8,1.9,21.0,0.913,67.359,113.8,92.8,32.269,63.63636364,1.095,109.592,77.87
79,2023,Drake,12,64,-0.7,11.8,0.791,12.076,107.9,96.1,12.124,78.78787879,1.084,108.714,76.357
80,2023,Duke,5,32,4.5,18.8,0.892,81.592,111.9,93.1,26.527,76.47058824,1.1,110.245,79.085
81,2023,Fairleigh Dickinson,16,32,-12.2,-12.4,0.216,0.2,104.6,117.0,5.422,53.125,1.088,108.88,73.373
82,2023,Florida Atlantic,9,4,4.8,17.4,0.874,17.083,112.2,94.8,16.095,90.625,1.129,112.947,76.04
83,2023,Furman,13,32,-2.0,7.8,0.697,4.159,111.9,104.1,10.319,77.41935484,1.155,115.465,76.607
84,2023,Gonzaga,3,8,6.8,24.0,0.925,76.992,122.6,98.6,26.846,84.375,1.205,120.383,78.071
85,2023,Grand Canyon,14,64,-3.7,5.3,0.639,20.262,109.8,104.5,14.646,65.625,1.088,108.542,77.147
86,2023,Houston,1,16,8.1,29.1,0.964,68.424,117.1,88.0,23.376,91.17647059,1.158,116.021,76.743
87,2023,Howard,16,64,-7.3,-4.8,0.37,10.987,100.9,105.7,9.971,61.29032258,1.033,103.037,76.881
88,2023,Illinois,9,64,0.9,14.6,0.839,80.461,109.0,94.4,30.112,62.5,1.065,106.287,78.733
89,2023,Indiana,4,32,3.4,16.7,0.864,83.728,112.5,95.8,33.014,66.66666667,1.092,108.931,78.592
90,2023,Iona,13,64,-1.6,11.8,0.789,4.177,108.8,97.0,9.85,79.41176471,1.105,110.689,77.502
91,2023,Iowa,8,64,0.3,16.2,0.844,48.548,118.9,102.7,30.692,59.375,1.139,113.509,78.356
92,2023,Iowa St.,6,64,2.4,18.2,0.893,35.584,108.2,90.0,37.116,59.375,1.031,103.094,77.276
93,2023,Kansas,1,32,10.1,21.4,0.918,69.643,112.9,91.5,38.229,79.41176471,1.062,106.078,77.453
94,2023,Kansas St.,3,8,4.3,17.2,0.875,48.155,110.3,93.1,30.879,71.875,1.051,104.952,76.284
95,2023,Kennesaw St.,14,64,-1.4,4.5,0.623,21.424,105.0,100.5,14.413,74.19354839,1.054,105.334,75.889
96,2023,Kent St.,13,64,0.9,11.0,0.779,0.364,106.1,95.1,14.799,81.25,1.088,108.778,75.69
97,2023,Kentucky,6,32,1.6,16.9,0.862,61.864,114.7,97.8,29.746,65.625,1.115,111.767,77.638
98,2023,Louisiana Lafayette,13,64,-0.5,8.5,0.715,25.412,110.8,102.3,14.493,76.66666667,1.096,109.745,76.564
99,2023,Marquette,2,32,7.6,23.0,0.922,59.052,119.0,96.0,30.614,82.35294118,1.132,113.246,77.191
100,2023,Maryland,8,32,1.0,16.5,0.863,44.421,111.5,95.0,29.227,63.63636364,1.086,109.025,77.885
101,2023,Memphis,8,64,4.7,19.7,0.899,47.843,113.9,94.2,27.313,76.47058824,1.088,108.548,76.823
102,2023,Miami FL,5,4,3.7,15.9,0.842,44.964,117.3,101.4,23.676,78.125,1.147,114.539,76.786
103,2023,Michigan St.,7,16,2.4,16.6,0.864,70.568,111.6,95.0,34.618,61.29032258,1.06,105.971,77.744
104,2023,Mississippi St.,11,68,0.4,11.6,0.799,32.329,102.4,90.8,28.179,63.63636364,0.999,100.199,77.887
105,2023,Missouri,7,32,3.5,13.7,0.806,21.934,117.5,103.8,28.374,72.72727273,1.123,112.445,76.423
106,2023,Montana St.,14,64,-2.6,7.1,0.693,12.887,104.1,97.0,13.113,71.875,1.051,105.386,77.313
107,2023,Nevada,11,68,0.9,12.1,0.795,35.592,108.8,96.7,24.07,67.74193548,1.063,106.46,78.565
108,2023,North Carolina St.,11,64,1.1,15.2,0.84,54.561,113.0,97.8,24.085,69.6969697,1.115,111.298,77.043
109,2023,Northern Kentucky,16,64,-6.7,0.0,0.5,3.153,101.1,101.1,10.838,62.5,1.044,104.474,76.513
110,2023,Northwestern,7,32,1.6,14.9,0.85,46.694,106.6,91.7,28.65,65.625,1.028,102.638,77.674
111,2023,Oral Roberts,12,64,1.6,10.7,0.761,19.093,111.9,101.2,13.482,86.66666667,1.165,116.53,77.111
112,2023,Penn St.,10,32,1.3,15.5,0.84,28.67,115.4,99.9,29.963,62.85714286,1.101,109.964,76.673
113,2023,Pittsburgh,11,32,-0.2,11.0,0.766,25.648,112.5,101.5,23.352,66.66666667,1.117,111.897,77.393
114,2023,Princeton,15,16,-3.2,6.0,0.659,0.2,107.6,101.6,11.173,70.37037037,1.081,108.055,77.419
115,2023,Providence,11,64,1.1,14.5,0.825,60.631,114.9,100.4,29.545,65.625,1.12,111.864,76.505
116,2023,Purdue,1,64,9.4,25.9,0.945,58.603,118.5,92.6,31.016,85.29411765,1.135,113.435,78.56
117,2023,Saint Mary's,5,32,3.6,22.6,0.931,32.764,111.7,89.1,22.971,78.125,1.103,110.407,78.124
118,2023,San Diego St.,5,2,5.8,21.2,0.919,37.236,111.3,90.1,25.602,81.25,1.064,106.67,76.704
119,2023,Southeast Missouri St.,16,68,-11.6,-8.2,0.285,2.128,98.7,106.9,8.545,51.51515152,1.028,102.664,76.034
120,2023,TCU,6,32,2.3,17.0,0.873,60.589,110.4,93.4,32.804,63.63636364,1.057,105.499,77.543
121,2023,Tennessee,4,16,2.8,24.9,0.949,60.04,111.1,86.2,28.429,69.6969697,1.08,108.476,77.428
122,2023,Texas,2,8,7.6,23.0,0.929,67.877,114.6,91.6,34.531,76.47058824,1.095,109.362,76.509
123,2023,Texas A&M,7,64,3.7,18.4,0.885,48.574,113.2,94.8,27.473,73.52941176,1.087,108.864,76.682
124,2023,Texas A&M Corpus Chris,16,64,-6.0,-1.8,0.451,3.833,104.4,106.2,9.546,65.51724138,1.098,109.864,75.074
125,2023,Texas Southern,16,68,-13.5,-9.5,0.25,6.519,94.8,104.3,14.83,37.5,0.939,94.0655,77.198
126,2023,UC Santa Barbara,14,64,-1.4,4.7,0.624,33.348,108.7,104.0,10.607,78.125,1.096,109.642,77.86
127,2023,UCLA,2,16,8.5,25.8,0.951,83.585,113.2,87.4,28.811,85.29411765,1.098,109.714,76.923
128,2023,UNC Asheville,15,64,-1.8,-1.2,0.466,10.661,101.2,102.4,10.618,78.125,1.047,104.637,77.243
129,2023,USC,10,64,2.1,14.4,0.832,71.583,110.8,96.4,27.758,68.75,1.059,105.647,79.03
130,2023,Utah St.,10,64,3.2,17.5,0.869,15.41,115.5,98.0,22.797,75.75757576,1.121,111.983,78.239
131,2023,VCU,12,64,1.0,11.1,0.785,48.265,104.2,93.1,15.572,79.41176471,1.044,104.381,77.577
132,2023,Vermont,15,64,-3.8,6.7,0.676,4.102,107.9,101.2,13.048,68.75,1.09,109.144,76.477
133,2023,Virginia,4,64,4.1,16.9,0.871,54.569,110.4,93.5,24.745,78.125,1.083,108.334,76.585
134,2023,West Virginia,9,64,1.5,19.7,0.895,40.731,116.1,96.4,35.542,57.57575758,1.088,108.969,77.418
135,2023,Xavier,3,16,5.2,20.2,0.895,53.584,118.6,98.4,31.866,73.52941176,1.129,112.788,78.386
136,2022,Akron,13,64,-4.3,2.1,0.558,14.226,104.8,102.7,9.639,70.96774,1.082,107.883,76.279
137,2022,Alabama,6,64,2.0,17.8,0.872,62.2,115.9,98.1,34.827,59.375,1.087,109.137,77.122
138,2022,Arizona,1,16,8.8,25.6,0.943,69.26,118.0,92.4,24.936,91.17647,1.155,115.613,79.442
139,2022,Arkansas,4,8,4.5,17.4,0.88,47.294,109.4,92.0,27.25,75.75758,1.06,106.057,76.757
140,2022,Auburn,2,32,7.4,23.1,0.933,61.608,112.7,89.6,27.557,84.375,1.085,108.347,77.548
141,2022,Baylor,1,32,8.9,26.8,0.952,55.889,117.5,90.7,35.472,81.25,1.112,111.13,77.617
142,2022,Boise St.,8,64,3.5,15.0,0.851,32.117,106.9,91.9,21.555,78.78788,1.038,103.572,78.468
143,2022,Bryant,16,68,-4.8,-1.5,0.458,3.998,102.7,104.2,9.639,70.0,1.051,105.275,76.94
144,2022,Cal St. Fullerton,15,64,-5.1,-1.2,0.466,12.413,102.0,103.2,10.89,65.51724,1.036,103.807,76.432
145,2022,Chattanooga,13,64,0.2,9.9,0.751,20.793,108.4,98.5,14.52,78.125,1.108,111.059,77.024
146,2022,Colgate,14,64,-6.1,2.8,0.576,0.2,106.4,103.6,9.704,66.66667,1.11,111.011,77.075
147,2022,Colorado St.,6,64,4.3,13.8,0.818,19.502,112.5,98.7,22.01,82.75862,1.105,110.141,75.69
148,2022,Connecticut,5,64,3.2,17.8,0.879,54.692,112.6,94.8,27.203,71.875,1.099,109.555,78.16
149,2022,Creighton,9,32,1.9,11.9,0.801,67.849,104.2,92.3,27.539,66.66667,1.006,100.292,78.241
150,2022,Davidson,10,64,2.1,14.2,0.818,36.235,115.7,101.5,16.861,81.25,1.132,113.241,78.038
151,2022,Delaware,15,64,-5.5,3.6,0.597,13.46,106.8,103.2,12.584,63.63636,1.072,107.166,77.165
152,2022,Duke,2,4,7.2,26.0,0.943,91.521,120.4,94.4,28.364,82.35294,1.169,117.152,78.372
153,2022,Georgia St.,16,64,-5.2,1.4,0.54,28.01,100.8,99.4,12.187,60.0,0.993,99.6748,75.872
154,2022,Gonzaga,1,16,6.7,32.4,0.973,86.976,120.9,88.5,24.951,89.65517,1.19,118.885,78.737
155,2022,Houston,5,8,6.2,28.2,0.96,51.79,117.1,88.9,22.655,85.29412,1.147,114.576,77.41
