,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_em_2,barthag_1,barthag_2,elite_sos_1,elite_sos_2,k_off_1,k_off_2,pppo_1,pppo_2,talent_1,talent_2,wab_1,wab_2,win_percent_1,win_percent_2,winner,badj_em_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff
0,2023,Alabama,1,16,64,Texas A&M Corpus Chris,16,64,27.1,-1.8,0.956,0.451,33.7,9.546,110.862,109.864,1.106,1.098,66.119,3.833,10.2,-6.0,85.29411765,65.51724138,1,28.900000000000002,16.2,0.5049999999999999,62.286,24.154000000000003,19.776876270000002,0.008000000000000007,0.9979999999999905
1,2023,Maryland,8,32,64,West Virginia,9,64,16.5,19.7,0.863,0.895,29.227,35.542,109.025,108.969,1.086,1.088,44.421,40.731,1.0,1.5,63.63636364,57.57575758,1,-3.1999999999999993,-0.5,-0.03200000000000003,3.6899999999999977,-6.315000000000001,6.060606059999998,-0.0020000000000000018,0.056000000000011596
2,2023,San Diego St.,5,2,64,College of Charleston,12,64,21.2,11.5,0.919,0.782,25.602,8.862,106.67,112.46,1.064,1.126,37.236,0.2,5.8,1.7,81.25,90.90909091,1,9.7,4.1,0.137,37.035999999999994,16.740000000000002,-9.659090910000003,-0.06199999999999983,-5.789999999999992
3,2023,Virginia,4,64,64,Furman,13,32,16.9,7.8,0.871,0.697,24.745,10.319,108.334,115.465,1.083,1.155,54.569,4.159,4.1,-2.0,78.125,77.41935484,0,9.099999999999998,6.1,0.17400000000000004,50.410000000000004,14.426,0.7056451600000031,-0.07200000000000006,-7.131
4,2023,Creighton,6,8,64,North Carolina St.,11,64,21.0,15.2,0.913,0.84,32.269,24.085,109.592,111.298,1.095,1.115,67.359,54.561,1.9,1.1,63.63636364,69.6969697,1,5.800000000000001,0.7999999999999998,0.07300000000000006,12.797999999999995,8.183999999999997,-6.060606059999998,-0.020000000000000018,-1.706000000000003
5,2023,Baylor,3,32,64,UC Santa Barbara,14,64,21.4,4.7,0.904,0.624,36.633,10.607,113.141,109.642,1.132,1.096,57.276,33.348,5.3,-1.4,68.75,78.125,1,16.7,6.699999999999999,0.28,23.928000000000004,26.026000000000003,-9.375,0.03599999999999981,3.4990000000000094
6,2023,Missouri,7,32,64,Utah St.,10,64,13.7,17.5,0.806,0.869,28.374,22.797,112.445,111.983,1.123,1.121,21.934,15.41,3.5,3.2,72.72727273,75.75757576,1,-3.8000000000000007,0.2999999999999998,-0.06299999999999994,6.524000000000001,5.576999999999998,-3.030303029999999,0.0020000000000000018,0.4619999999999891
7,2023,Arizona,2,64,64,Princeton,15,16,24.3,6.0,0.932,0.659,29.572,11.173,113.208,108.055,1.134,1.081,73.326,0.2,7.6,-3.2,82.35294118,70.37037037,0,18.3,10.8,0.273,73.12599999999999,18.399,11.982570809999999,0.052999999999999936,5.152999999999992
8,2023,Purdue,1,64,64,Fairleigh Dickinson,16,32,25.9,-12.4,0.945,0.216,31.016,5.422,113.435,108.88,1.135,1.088,58.603,0.2,9.4,-12.2,85.29411765,53.125,0,38.3,21.6,0.729,58.403,25.593999999999998,32.169117650000004,0.04699999999999993,4.555000000000007
9,2023,Memphis,8,64,64,Florida Atlantic,9,4,19.7,17.4,0.899,0.874,27.313,16.095,108.548,112.947,1.088,1.129,47.843,17.083,4.7,4.8,76.47058824,90.625,0,2.3000000000000007,-0.09999999999999964,0.025000000000000022,30.760000000000005,11.218,-14.154411760000002,-0.040999999999999925,-4.399000000000001
10,2023,Duke,5,32,64,Oral Roberts,12,64,18.8,10.7,0.892,0.761,26.527,13.482,110.245,116.53,1.1,1.165,81.592,19.093,4.5,1.6,76.47058824,86.66666667,1,8.100000000000001,2.9,0.131,62.498999999999995,13.045000000000002,-10.19607843,-0.06499999999999995,-6.284999999999997
11,2023,Tennessee,4,16,64,Louisiana Lafayette,13,64,24.9,8.5,0.949,0.715,28.429,14.493,108.476,109.745,1.08,1.096,60.04,25.412,2.8,-0.5,69.6969697,76.66666667,1,16.4,3.3,0.23399999999999999,34.628,13.935999999999998,-6.969696970000001,-0.016000000000000014,-1.2690000000000055
12,2023,Kentucky,6,32,64,Providence,11,64,16.9,14.5,0.862,0.825,29.746,29.545,111.767,111.864,1.115,1.12,61.864,60.631,1.6,1.1,65.625,65.625,1,2.3999999999999986,0.5,0.03700000000000003,1.232999999999997,0.20099999999999696,0.0,-0.0050000000000001155,-0.09700000000000841
13,2023,Kansas St.,3,8,64,Montana St.,14,64,17.2,7.1,0.875,0.693,30.879,13.113,104.952,105.386,1.051,1.051,48.155,12.887,4.3,-2.6,71.875,71.875,1,10.1,6.9,0.18200000000000005,35.268,17.766000000000002,0.0,0.0,-0.4339999999999975
14,2023,Michigan St.,7,16,64,USC,10,64,16.6,14.4,0.864,0.832,34.618,27.758,105.971,105.647,1.06,1.059,70.568,71.583,2.4,2.1,61.29032258,68.75,1,2.200000000000001,0.2999999999999998,0.03200000000000003,-1.0150000000000006,6.860000000000003,-7.4596774199999984,0.001000000000000112,0.32399999999999807
15,2023,Marquette,2,32,64,Vermont,15,64,23.0,6.7,0.922,0.676,30.614,13.048,113.246,109.144,1.132,1.09,59.052,4.102,7.6,-3.8,82.35294118,68.75,1,16.3,11.399999999999999,0.246,54.95,17.566000000000003,13.602941180000002,0.041999999999999815,4.10199999999999
